signal_id,captured_at,platform,source_type,source_url,topic,summary_th,people_involved_type,harm_level,verification_status,virality_evidence,engagement_snapshot,trend_age_hours,demand_window,audience_need,candidate_product_category,candidate_query,ethics_color,policy_risk,claim_risk,human_review_required,product_mapping_status,notes_th
gt-th-ฮุน-เซน-a0e70e86,2026-06-05T18:02:25+07:00,google_trends,social_search_trend,https://www.thaipost.net/hi-light/1008957/,ฮุน เซน,google_trends TH พบสัญญาณไวรัล 'ฮุน เซน' traffic/engagement 200+,public_or_sensitive_topic,medium,source_seen,Google Trends RSS geo=TH rank=1 approx_traffic=200+,"{""geo"": ""TH"", ""rank"": 1, ""traffic"": ""200+"", ""sources"": [""Thaipost.net"", ""Thairath.co.th"", ""Thai PBS""], ""engagement"": {}}",0,4-48h,ต้องให้ Marketing/Research ตีความ need ก่อน,no_direct_product_mapping,,amber,medium,medium,yes,needs_verification,social_search_trend from google_trends; repeat sightings update observations and cluster velocity
gt-th-ศาล-621a34f8,2026-06-05T18:02:25+07:00,google_trends,social_search_trend,https://www.thaipbs.or.th/news/content/506716,ศาล,google_trends TH พบสัญญาณไวรัล 'ศาล' traffic/engagement 1000+,public_or_sensitive_topic,medium,source_seen,Google Trends RSS geo=TH rank=2 approx_traffic=1000+,"{""geo"": ""TH"", ""rank"": 2, ""traffic"": ""1000+"", ""sources"": [""Thai PBS"", ""Thairath.co.th"", ""Ch7.com""], ""engagement"": {}}",1,4-48h,ต้องให้ Marketing/Research ตีความ need ก่อน,no_direct_product_mapping,,amber,medium,medium,yes,needs_verification,social_search_trend from google_trends; repeat sightings update observations and cluster velocity
gt-th-ราคาทอง-1-บาท-วันนี้-584ec118,2026-06-05T18:02:25+07:00,google_trends,social_search_trend,https://www.thairath.co.th/news/society/2937521,ราคาทอง 1 บาท วันนี้,google_trends TH พบสัญญาณไวรัล 'ราคาทอง 1 บาท วันนี้' traffic/engagement 5000+,public_or_sensitive_topic,medium,source_seen,Google Trends RSS geo=TH rank=3 approx_traffic=5000+,"{""geo"": ""TH"", ""rank"": 3, ""traffic"": ""5000+"", ""sources"": [""Thairath.co.th"", ""LINE TODAY"", ""Ch7.com""], ""engagement"": {}}",3,4-48h,ต้องให้ Marketing/Research ตีความ need ก่อน,no_direct_product_mapping,,amber,medium,medium,yes,needs_verification,social_search_trend from google_trends; repeat sightings update observations and cluster velocity
gt-th-การเมือง-9c2c1b5f,2026-06-05T18:02:25+07:00,google_trends,social_search_trend,https://www.thaipbs.or.th/news/content/506733,การเมือง,google_trends TH พบสัญญาณไวรัล 'การเมือง' traffic/engagement 5000+,public_or_sensitive_topic,medium,source_seen,Google Trends RSS geo=TH rank=4 approx_traffic=5000+,"{""geo"": ""TH"", ""rank"": 4, ""traffic"": ""5000+"", ""sources"": [""Thai PBS"", ""Thairath.co.th"", ""ผู้จัดการออนไลน์""], ""engagement"": {}}",6,4-48h,ต้องให้ Marketing/Research ตีความ need ก่อน,no_direct_product_mapping,,amber,medium,medium,yes,needs_verification,social_search_trend from google_trends; repeat sightings update observations and cluster velocity
gt-th-scratch-ffdf8c66,2026-06-05T18:02:25+07:00,google_trends,social_search_trend,https://fox59.com/indiana-news/hoosier-lottery-pulls-space-invaders-scratch-off-over-technical-issue/,scratch,google_trends TH พบสัญญาณไวรัล 'scratch' traffic/engagement 1000+,public_or_sensitive_topic,medium,source_seen,Google Trends RSS geo=TH rank=5 approx_traffic=1000+,"{""geo"": ""TH"", ""rank"": 5, ""traffic"": ""1000+"", ""sources"": [""Fox 59"", ""USA Today"", ""WSBT""], ""engagement"": {}}",7,4-48h,ต้องให้ Marketing/Research ตีความ need ก่อน,no_direct_product_mapping,,amber,medium,medium,yes,needs_verification,social_search_trend from google_trends; repeat sightings update observations and cluster velocity
gt-th-เม็กซิโก-พบ-เซอร์เบีย-f215860c,2026-06-05T18:02:25+07:00,google_trends,social_search_trend,https://www.espn.com/soccer/story/_/id/48971934/mexico-earn-dominant-5-1-victory-world-cup-sendoff-match,เม็กซิโก พบ เซอร์เบีย,google_trends TH พบสัญญาณไวรัล 'เม็กซิโก พบ เซอร์เบีย' traffic/engagement 500+,none,low,source_seen,Google Trends RSS geo=TH rank=6 approx_traffic=500+,"{""geo"": ""TH"", ""rank"": 6, ""traffic"": ""500+"", ""sources"": [""ESPN"", ""BBC"", ""Goal.com""], ""engagement"": {}}",9,4-48h,ของดูบอลและเชียร์กีฬาที่ใช้ซ้ำได้,fan_gear,site:shopee.co.th เสื้อกีฬา ผ้าพันคอ เชียร์บอล ของดูบอล,green,low,low,no,need_identified,social_search_trend from google_trends; repeat sightings update observations and cluster velocity
gt-th-บางจาก-คอร์ปอเรชั่น-aa76bca3,2026-06-05T18:02:25+07:00,google_trends,social_search_trend,https://www.newswit.com/th/ies01wrge2o3hfqjw0i7lnrsvag2kjx3,บางจาก คอร์ปอเรชั่น,google_trends TH พบสัญญาณไวรัล 'บางจาก คอร์ปอเรชั่น' traffic/engagement 100+,public_or_sensitive_topic,medium,source_seen,Google Trends RSS geo=TH rank=7 approx_traffic=100+,"{""geo"": ""TH"", ""rank"": 7, ""traffic"": ""100+"", ""sources"": [""newswit"", ""ThaiPR.NET"", ""LINE TODAY""], ""engagement"": {}}",12,4-48h,ต้องให้ Marketing/Research ตีความ need ก่อน,no_direct_product_mapping,,amber,medium,medium,yes,needs_verification,social_search_trend from google_trends; repeat sightings update observations and cluster velocity
gt-th-สภาพอากาศวันนี้-24bb778a,2026-06-05T18:02:25+07:00,google_trends,social_search_trend,https://www.hatyaifocus.com/news-detail/31039/,สภาพอากาศวันนี้,google_trends TH พบสัญญาณไวรัล 'สภาพอากาศวันนี้' traffic/engagement 200+,none,low,source_seen,Google Trends RSS geo=TH rank=8 approx_traffic=200+,"{""geo"": ""TH"", ""rank"": 8, ""traffic"": ""200+"", ""sources"": [""HATYAI FOCUS"", ""LINE TODAY"", ""ผู้จัดการออนไลน์""], ""engagement"": {}}",12,4-48h,เตรียมของกันฝนแบบพกง่ายสำหรับเดินทาง,rain_gear,site:shopee.co.th เสื้อกันฝนพกพา rain cover dry bag,green,low,low,no,need_identified,social_search_trend from google_trends; repeat sightings update observations and cluster velocity
gt-th-lpga-3752fbe7,2026-06-05T18:02:25+07:00,google_trends,social_search_trend,https://sports.yahoo.com/articles/nobody-does-wear-marks-lpga-154752074.html,lpga,google_trends TH พบสัญญาณไวรัล 'lpga' traffic/engagement 200+,none,low,source_seen,Google Trends RSS geo=TH rank=9 approx_traffic=200+,"{""geo"": ""TH"", ""rank"": 9, ""traffic"": ""200+"", ""sources"": [""Yahoo Sports"", ""Siamsport"", ""เดลินิวส์""], ""engagement"": {}}",12,4-48h,ของดูบอลและเชียร์กีฬาที่ใช้ซ้ำได้,fan_gear,site:shopee.co.th เสื้อกีฬา ผ้าพันคอ เชียร์บอล ของดูบอล,green,low,low,no,need_identified,social_search_trend from google_trends; repeat sightings update observations and cluster velocity
gt-th-หวยพัฒนา-85ee42cc,2026-06-05T18:02:25+07:00,google_trends,social_search_trend,https://www.sanook.com/news/9892694/,หวยพัฒนา,google_trends TH พบสัญญาณไวรัล 'หวยพัฒนา' traffic/engagement 1000+,public_or_sensitive_topic,medium,source_seen,Google Trends RSS geo=TH rank=10 approx_traffic=1000+,"{""geo"": ""TH"", ""rank"": 10, ""traffic"": ""1000+"", ""sources"": [""Sanook"", ""LINE TODAY"", ""komchadluek""], ""engagement"": {}}",13,4-48h,ต้องให้ Marketing/Research ตีความ need ก่อน,no_direct_product_mapping,,amber,medium,medium,yes,needs_verification,social_search_trend from google_trends; repeat sightings update observations and cluster velocity
gt-us-melanie-hyer-doral-5dc14684,2026-06-05T18:02:25+07:00,google_trends,social_search_trend,https://www.nbcmiami.com/news/local/doral-isles-murder-suicide-family/3817093/,melanie hyer doral,google_trends US พบสัญญาณไวรัล 'melanie hyer doral' traffic/engagement 200+,private_person_or_victim,high,source_seen,Google Trends RSS geo=US rank=1 approx_traffic=200+,"{""geo"": ""US"", ""rank"": 1, ""traffic"": ""200+"", ""sources"": [""NBC 6 South Florida"", ""People.com"", ""New York Post""], ""engagement"": {}}",0,24-72h,ต้องให้ Marketing/Research ตีความ need ก่อน,no_direct_product_mapping,,red,high,high,yes,red_no_product_mapping,social_search_trend from google_trends; repeat sightings update observations and cluster velocity
gt-us-england-vs-new-zealand-b972350b,2026-06-05T18:02:25+07:00,google_trends,social_search_trend,https://www.bbc.com/sport/cricket/articles/cevpvx108l9o,england vs new zealand,google_trends US พบสัญญาณไวรัล 'england vs new zealand' traffic/engagement 200+,none,low,source_seen,Google Trends RSS geo=US rank=2 approx_traffic=200+,"{""geo"": ""US"", ""rank"": 2, ""traffic"": ""200+"", ""sources"": [""BBC"", ""BBC"", ""Sky Sports""], ""engagement"": {}}",0,24-72h,ของดูบอลและเชียร์กีฬาที่ใช้ซ้ำได้,fan_gear,site:shopee.co.th เสื้อกีฬา ผ้าพันคอ เชียร์บอล ของดูบอล,green,low,low,no,need_identified,social_search_trend from google_trends; repeat sightings update observations and cluster velocity
gt-us-taylah-preston-bdfc6139,2026-06-05T18:02:25+07:00,google_trends,social_search_trend,https://www.sportytrader.com/us/picks/taylah-preston-ashlyn-krueger-353188/,taylah preston,google_trends US พบสัญญาณไวรัล 'taylah preston' traffic/engagement 100+,none,low,source_seen,Google Trends RSS geo=US rank=3 approx_traffic=100+,"{""geo"": ""US"", ""rank"": 3, ""traffic"": ""100+"", ""sources"": [""SportyTrader""], ""engagement"": {}}",0,24-72h,ต้องให้ Marketing/Research ตีความ need ก่อน,no_direct_product_mapping,,green,low,low,yes,needs_verification,social_search_trend from google_trends; repeat sightings update observations and cluster velocity
gt-us-sharon-stone-ex-husband-43e23940,2026-06-05T18:02:25+07:00,google_trends,social_search_trend,https://www.yahoo.com/entertainment/celebrity/articles/sharon-stone-says-marriage-ended-165956982.html,sharon stone ex husband,google_trends US พบสัญญาณไวรัล 'sharon stone ex husband' traffic/engagement 100+,public_or_sensitive_topic,medium,source_seen,Google Trends RSS geo=US rank=4 approx_traffic=100+,"{""geo"": ""US"", ""rank"": 4, ""traffic"": ""100+"", ""sources"": [""Yahoo"", ""BuzzFeed"", ""InStyle""], ""engagement"": {}}",0,24-72h,ต้องให้ Marketing/Research ตีความ need ก่อน,no_direct_product_mapping,,amber,medium,medium,yes,needs_verification,social_search_trend from google_trends; repeat sightings update observations and cluster velocity
gt-us-peco-280bb3fd,2026-06-05T18:02:25+07:00,google_trends,social_search_trend,https://www.wtae.com/article/energy-costs-spike-pennsylvania/71463180,peco,google_trends US พบสัญญาณไวรัล 'peco' traffic/engagement 100+,public_or_sensitive_topic,medium,source_seen,Google Trends RSS geo=US rank=5 approx_traffic=100+,"{""geo"": ""US"", ""rank"": 5, ""traffic"": ""100+"", ""sources"": [""WTAE"", ""AOL.com"", ""Franklin County Free Press""], ""engagement"": {}}",0,24-72h,ต้องให้ Marketing/Research ตีความ need ก่อน,no_direct_product_mapping,,amber,medium,medium,yes,needs_verification,social_search_trend from google_trends; repeat sightings update observations and cluster velocity
gt-us-facebook-user-privacy-settlement-08e94a7a,2026-06-05T18:02:25+07:00,google_trends,social_search_trend,https://www.nbcchicago.com/news/local/did-you-get-an-email-some-users-may-get-a-second-facebook-settlement-check-heres-why/3944248/,facebook user privacy settlement,google_trends US พบสัญญาณไวรัล 'facebook user privacy settlement' traffic/engagement 500+,public_or_sensitive_topic,medium,source_seen,Google Trends RSS geo=US rank=6 approx_traffic=500+,"{""geo"": ""US"", ""rank"": 6, ""traffic"": ""500+"", ""sources"": [""NBC 5 Chicago"", ""The Hill"", ""شبكة تواصل الإخبارية""], ""engagement"": {}}",0,24-72h,ต้องให้ Marketing/Research ตีความ need ก่อน,no_direct_product_mapping,,amber,medium,medium,yes,needs_verification,social_search_trend from google_trends; repeat sightings update observations and cluster velocity
gt-us-turks-and-caicos-b77218e6,2026-06-05T18:02:25+07:00,google_trends,social_search_trend,https://www.foxnews.com/us/overcrowded-migrant-vessel-240-people-board-intercepted-near-turks-caicos,turks and caicos,google_trends US พบสัญญาณไวรัล 'turks and caicos' traffic/engagement 1000+,private_person_or_victim,high,source_seen,Google Trends RSS geo=US rank=7 approx_traffic=1000+,"{""geo"": ""US"", ""rank"": 7, ""traffic"": ""1000+"", ""sources"": [""Fox News"", ""United States Coast Guard News (.mil)"", ""WPEC""], ""engagement"": {}}",0,24-72h,ต้องให้ Marketing/Research ตีความ need ก่อน,no_direct_product_mapping,,red,high,high,yes,red_no_product_mapping,social_search_trend from google_trends; repeat sightings update observations and cluster velocity
gt-us-matt-brown-cause-of-death-1e462251,2026-06-05T18:02:25+07:00,google_trends,social_search_trend,https://www.yahoo.com/entertainment/celebrity/articles/alaskan-bush-people-star-matt-231242503.html,matt brown cause of death,google_trends US พบสัญญาณไวรัล 'matt brown cause of death' traffic/engagement 200+,private_person_or_victim,high,source_seen,Google Trends RSS geo=US rank=8 approx_traffic=200+,"{""geo"": ""US"", ""rank"": 8, ""traffic"": ""200+"", ""sources"": [""Yahoo"", ""Fox News"", ""Alaska's News Source""], ""engagement"": {}}",0,24-72h,ต้องให้ Marketing/Research ตีความ need ก่อน,no_direct_product_mapping,,red,high,high,yes,red_no_product_mapping,social_search_trend from google_trends; repeat sightings update observations and cluster velocity
gt-us-invisible-dormant-black-hole-science-04fa8aa1,2026-06-05T18:02:25+07:00,google_trends,social_search_trend,https://www.nature.com/articles/s41586-026-10579-4,invisible dormant black hole science,google_trends US พบสัญญาณไวรัล 'invisible dormant black hole science' traffic/engagement 100+,none,low,source_seen,Google Trends RSS geo=US rank=9 approx_traffic=100+,"{""geo"": ""US"", ""rank"": 9, ""traffic"": ""100+"", ""sources"": [""Nature"", ""Live Science"", ""NASA Science (.gov)""], ""engagement"": {}}",0,24-72h,ต้องให้ Marketing/Research ตีความ need ก่อน,no_direct_product_mapping,,green,low,low,yes,needs_verification,social_search_trend from google_trends; repeat sightings update observations and cluster velocity
gt-us-wic-program-benefit-reduction-legislatio-3484612f,2026-06-05T18:02:25+07:00,google_trends,social_search_trend,https://thehill.com/homenews/house/5910698-house-agriculture-fda-appropriations-bill/,wic program benefit reduction legislation,google_trends US พบสัญญาณไวรัล 'wic program benefit reduction legislation' traffic/engagement 100+,public_or_sensitive_topic,medium,source_seen,Google Trends RSS geo=US rank=10 approx_traffic=100+,"{""geo"": ""US"", ""rank"": 10, ""traffic"": ""100+"", ""sources"": [""The Hill"", ""Alternet"", ""Politico""], ""engagement"": {}}",0,24-72h,ต้องให้ Marketing/Research ตีความ need ก่อน,no_direct_product_mapping,,amber,medium,medium,yes,needs_verification,social_search_trend from google_trends; repeat sightings update observations and cluster velocity
